epoch,g,is_best,learning_rate,model_family,run_id,stride,ticket_stage,track,train_acc@1,train_loss,validation_file_acc@1,validation_file_f1,validation_window_acc@1,validation_window_f1,view_mode,window_size
1,25,,,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,1.7117834394904459,3.962224668757931,,,,,diff,100
2,25,,,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,1.7515923566878981,3.9229973881107987,,,,,diff,100
3,25,,,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,2.109872611464968,3.91316805219954,,,,,diff,100
4,25,,,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,1.6719745222929936,3.916280057020248,,,,,diff,100
5,25,,,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,1.910828025477707,3.91043444499848,,,,,diff,100
1,0,,,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,13.137032842582107,3.2325658456205466,,,,,raw,100
2,0,,,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,28.23707059267648,2.3968764300974597,,,,,raw,100
3,0,,,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,39.22234805587014,1.8933987266930061,,,,,raw,100
4,0,,,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,48.773121932804834,1.5460774244655524,,,,,raw,100
5,0,,,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,54.586636466591166,1.3898651475679564,,,,,raw,100
1,0,,,transformer,e0_transformer_cls_w100_g0-20260401-024241-57c1b3e1,50,t07,exact-upstream,13.137032842582107,3.2325658456205466,,,,,raw,100
2,0,,,transformer,e0_transformer_cls_w100_g0-20260401-024241-57c1b3e1,50,t07,exact-upstream,28.23707059267648,2.3968764300974597,,,,,raw,100
3,0,,,transformer,e0_transformer_cls_w100_g0-20260401-024241-57c1b3e1,50,t07,exact-upstream,39.22234805587014,1.8933987266930061,,,,,raw,100
